Tank,Picture_Name,Date,Snail,Snail_abundance,Diameter,Biomass,Cercariae,Week,Sampling_Effort,Total_Biomass
4,P1000796,6/15/2016,6,8,16.763,45.21957415,843,4,3,239.0860756
4,P1000796,6/15/2016,13,8,12.944,20.81980923,138,4,3,239.0860756
4,P1000796,6/15/2016,17,8,12.187,17.37647446,697,4,3,239.0860756
5,P1000797,6/15/2016,16,19,15.722,37.30736781,198,4,3,804.799077
6,P1000800,6/15/2016,4,47,17.833,54.44330255,4224,4,3,573.1590881
6,P1000800,6/15/2016,6,47,17.129,48.24666084,3920,4,3,573.1590881
6,P1000800,6/15/2016,9,47,18.102,56.94438602,183,4,3,573.1590881
6,P1000800,6/15/2016,10,47,17.105,48.04414495,1610,4,3,573.1590881
6,P1000800,6/15/2016,17,47,14.389,28.59980492,3196,4,3,573.1590881
6,P1000800,6/15/2016,21,47,16.058,39.7507744,3401,4,3,573.1590881
6,P1000800,6/15/2016,22,47,16.588,43.81807689,1818,4,3,573.1590881
9,P1000805,6/15/2016,5,18,13.631,24.31388658,393,4,3,295.2868375
11,P1000807,6/15/2016,14,153,12.681,19.57635089,1408,4,3,189.3591278
14,P1000811,6/15/2016,8,7,15.343,34.67385176,2132,4,3,251.6291377
14,P1000811,6/15/2016,10,7,14.21,27.54567803,279,4,3,251.6291377
14,P1000811,6/15/2016,11,7,14.137,27.12332995,1144,4,3,251.6291377
17,P1000816,6/15/2016,14,114,17.091,47.92627281,129,4,3,377.1548712
18,P1000818,6/15/2016,2,65,15.798,37.85101776,1623,4,3,626.6416404
18,P1000818,6/15/2016,17,65,14.545,29.54013051,492,4,3,626.6416404
21,P1000826,6/15/2016,11,22,19.582,72.08457989,1084,4,3,527.6813315
21,P1000826,6/15/2016,12,22,17.759,53.76835561,1193,4,3,527.6813315
24,P1000830,6/15/2016,2,55,12.391,18.26376473,1983,4,3,117.5313441
24,P1000830,6/15/2016,13,55,12.155,17.23995479,2214,4,3,117.5313441
24,P1000830,6/15/2016,18,55,10.587,11.39173759,12,4,3,117.5313441
25,P1000832,6/16/2016,4,13,17.52,51.62660168,2036,4,3,433.1653008
