Tank,N & P,Size,Treatment,Schisto,Week,Snail,Total_Biomass,Cercarial_production,Infected_abundance,Sampling_Effort,Eggs,Phyto_F,Peri_F,Snail_density,Biomass_density
1,High,Small,High-Small,No,0,60,96.00971723,0,0,NA,NA,NA,NA,NA,NA
2,Low,Intermediate,Low-Intermediate,Yes,0,60,620.5686601,0,0,NA,NA,NA,NA,NA,NA
3,Low,Intermediate,Low-Intermediate,Yes,0,60,670.4780016,0,0,NA,NA,NA,NA,NA,NA
4,High,Small,High-Small,Yes,0,60,86.69983729,0,0,NA,NA,NA,NA,NA,NA
5,High,Small,High-Small,Yes,0,60,121.3938262,0,0,NA,NA,NA,NA,NA,NA
6,Low,Small,Low-Small,Yes,0,60,95.92953704,0,0,NA,NA,NA,NA,NA,NA
7,High,Large,High-Large,No,0,60,1969.287412,0,0,NA,NA,NA,NA,NA,NA
8,Low,Large,Low-Large,Yes,0,60,1729.449786,0,0,NA,NA,NA,NA,NA,NA
9,Low,Small,Low-Small,Yes,0,60,87.01427583,0,0,NA,NA,NA,NA,NA,NA
10,Low,Small,Low-Small,Yes,0,60,100.8906425,0,0,NA,NA,NA,NA,NA,NA
11,High,Large,High-Large,Yes,0,60,1920.276485,0,0,NA,NA,NA,NA,NA,NA
12,Low,Large,Low-Large,No,0,60,1704.375209,0,0,NA,NA,NA,NA,NA,NA
13,Low,Intermediate,Low-Intermediate,Yes,0,60,588.8523303,0,0,NA,NA,NA,NA,NA,NA
14,High,Small,High-Small,Yes,0,60,86.85896128,0,0,NA,NA,NA,NA,NA,NA
15,Low,Large,Low-Large,No,0,60,1768.337636,0,0,NA,NA,NA,NA,NA,NA
16,Low,Intermediate,Low-Intermediate,No,0,60,675.2707973,0,0,NA,NA,NA,NA,NA,NA
17,Low,Large,Low-Large,Yes,0,60,1614.506532,0,0,NA,NA,NA,NA,NA,NA
18,High,Large,High-Large,Yes,0,60,1511.221024,0,0,NA,NA,NA,NA,NA,NA
19,Low,Large,Low-Large,Yes,0,60,1389.810392,0,0,NA,NA,NA,NA,NA,NA
20,Low,Intermediate,Low-Intermediate,No,0,60,620.5995297,0,0,NA,NA,NA,NA,NA,NA
21,High,Intermediate,High-Intermediate,Yes,0,60,643.5743326,0,0,NA,NA,NA,NA,NA,NA
22,High,Small,High-Small,Yes,0,60,91.50328837,0,0,NA,NA,NA,NA,NA,NA
23,High,Intermediate,High-Intermediate,No,0,60,698.7152175,0,0,NA,NA,NA,NA,NA,NA
24,High,Intermediate,High-Intermediate,Yes,0,60,688.5826094,0,0,NA,NA,NA,NA,NA,NA
25,Low,Small,Low-Small,Yes,0,60,76.63342412,0,0,NA,NA,NA,NA,NA,NA
26,Low,Small,Low-Small,Yes,0,60,91.64662495,0,0,NA,NA,NA,NA,NA,NA
27,Low,Large,Low-Large,Yes,0,60,1662.890711,0,0,NA,NA,NA,NA,NA,NA
28,High,Small,High-Small,Yes,0,60,80.45898062,0,0,NA,NA,NA,NA,NA,NA
29,Low,Small,Low-Small,No,0,60,77.8251118,0,0,NA,NA,NA,NA,NA,NA
30,Low,Small,Low-Small,Yes,0,60,79.90954576,0,0,NA,NA,NA,NA,NA,NA
31,High,Large,High-Large,Yes,0,60,1845.418041,0,0,NA,NA,NA,NA,NA,NA
32,High,Small,High-Small,Yes,0,60,90.08238692,0,0,NA,NA,NA,NA,NA,NA
